DATA_CENTER_BUILDING_NAME,PROVIDER_NAME,TOT_POWER_MW,County
Tech Park at Brambleton Data Center 4,Black Chamber,61.25,Loudoun County
Tuscarora Landbay 3 Data Center 1,Black Chamber,44.7,Loudoun County
Tuscarora Landbay 3 Data Center 2,Black Chamber,44.7,Loudoun County
Tuscarora Landbay 3 Data Center 3,Black Chamber,44.7,Loudoun County
Luck Stone Leesburg Data Center 4,Luck Stone,63.589,Loudoun County
Luck Stone Leesburg Data Center 1,Luck Stone,63.589,Loudoun County
Luck Stone Leesburg Data Center 5,Luck Stone,63.589,Loudoun County
Luck Stone Leesburg Data Center 8,Luck Stone,63.589,Loudoun County
Luck Stone Leesburg Data Center 6,Luck Stone,63.589,Loudoun County
Luck Stone Leesburg Data Center 7,Luck Stone,63.589,Loudoun County
Luck Stone Leesburg Data Center 2,Luck Stone,63.589,Loudoun County
Luck Stone Leesburg Data Center 3,Luck Stone,63.589,Loudoun County
Tuscarora LB 7 Data Center 2,Black Chamber,49.13,Loudoun County
Tuscarora LB 7 Data Center 1,Black Chamber,49.13,Loudoun County
TCA - Building 3,SDC Capital Partners,63.169,Arlington County
TCA - Building 5,SDC Capital Partners,44.68,Loudoun County
TCA - Building 4,SDC Capital Partners,61.229,Prince William County
TCA - Building 1,SDC Capital Partners,61.957,Loudoun County
TCA - Building 2,SDC Capital Partners,61.608,Prince William County
Leesburg Data Center 3,SDC Capital Partners,80.0,Loudoun County
Leesburg Data Center 4,SDC Capital Partners,62.5,Loudoun County
Leesburg Data Center 5,SDC Capital Partners,45.0,Loudoun County
Leesburg Data Center 2,SDC Capital Partners,85.0,Loudoun County
Leesburg Data Center 1,SDC Capital Partners,90.0,Loudoun County
Spotsy Technology Data Center 8,SpotsyTechnoCampus LLC,61.948,Spotsylvania County
Spotsy Technology Data Center 6,SpotsyTechnoCampus LLC,32.75,Spotsylvania County
Spotsy Technology Data Center 3,SpotsyTechnoCampus LLC,32.75,Spotsylvania County
Spotsy Technology Data Center 1,SpotsyTechnoCampus LLC,32.75,Spotsylvania County
Spotsy Technology Data Center 2,SpotsyTechnoCampus LLC,32.75,Fredericksburg City
Spotsy Technology Data Center 9,SpotsyTechnoCampus LLC,46.865,Spotsylvania County
Spotsy Technology Data Center 5,SpotsyTechnoCampus LLC,32.75,Spotsylvania County
Spotsy Technology Data Center 4,SpotsyTechnoCampus LLC,32.75,Spotsylvania County
Spotsy Technology Data Center 7,SpotsyTechnoCampus LLC,46.865,Spotsylvania County
Data Center 1,Ada Infrastructure,,Loudoun County
Data Center 2,Ada Infrastructure,,Loudoun County
SDC Data Center 5,SDC Capital Partners,50.93,Prince William County
SDC Data Center 3,SDC Capital Partners,47.71,Loudoun County
SDC Data Center 4,SDC Capital Partners,47.71,Loudoun County
AVAIO Ladysmith Rd Data Center 2,AVAIO Digital,,Caroline County
AVAIO Ladysmith Rd Data Center 1,AVAIO Digital,,Caroline County
VA1 Data Center Building 8,Clean Arc,100.0,Prince William County
VA1 Data Center Building 4,Clean Arc,100.0,Loudoun County
VA1 Data Center Building 9,Clean Arc,100.0,Loudoun County
VA1 Data Center Building 7,Clean Arc,100.0,Loudoun County
VA1 Data Center Building 5,Clean Arc,100.0,Prince William County
VA1 Data Center Building 6,Clean Arc,100.0,Loudoun County
Building 3,SDC Capital Partners,71.457,Loudoun County
MD-DC2 (Sterling),Menlo Digital,144.0,Loudoun County
Kincora Data Center,Corscale,,Loudoun County
TA Realty Data Center 5,TA Digital Group,74.179,Prince William County
TA Realty Data Center 1,TA Digital Group,74.179,Prince William County
TA Realty Data Center 6,TA Digital Group,74.179,Loudoun County
TA Realty Data Center 4,TA Digital Group,74.179,Prince William County
TA Realty Data Center 3,TA Digital Group,74.179,Prince William County
TA Realty Data Center 2,TA Digital Group,74.179,Loudoun County
PARAGON PARK TECHNOLOGY PARK,Black Chamber,88.51,Prince William County
BUILDING B,Oppidan Connect,12.2637,Loudoun County
BUILDING A,Oppidan Connect,60.867,Fairfax County
DC Blox Richmond Data Center,DC BLOX,16.814,Henrico County
110 TERMINAL DRIVE DATA CENTER,TA Digital Group,59.126,Prince William County
MD-DC3 Data Center 4,Menlo Digital,70.0,Loudoun County
MD-DC3 Data Center 1,Menlo Digital,90.0,Loudoun County
MD-DC3 Data Center 3,Menlo Digital,70.0,Loudoun County
MD-DC3 Data Center 2,Menlo Digital,70.0,Loudoun County
CTP-04  Richmond,Chirisa Technology Parks,100.0,Chesterfield County
White Oak Technology Park Data Center 1,Iron Mountain Data Centers,18.0,Loudoun County
White Oak Technology Park Data Center 4,Iron Mountain Data Centers,50.0,Fairfax County
White Oak Technology Park Data Center 3,Iron Mountain Data Centers,50.0,Fairfax County
White Oak Technology Park Data Center 2,Iron Mountain Data Centers,50.0,Prince William County
Serverfarm Vienna Cloud 1,Serverfarm,,Fairfax County
Serverfarm Vienna Cloud 2,Serverfarm,,Fairfax County
Dahlgren West Bldg 4,Oasis Digital Properties,75.862,King George County
Dahlgren West Bldg 1,Oasis Digital Properties,75.862,King George County
Dahlgren West Bldg 6,Oasis Digital Properties,75.862,King George County
Dahlgren West Bldg 2,Oasis Digital Properties,75.862,King George County
Dahlgren West Bldg 3,Oasis Digital Properties,75.862,King George County
Dahlgren West Bldg 10,Oasis Digital Properties,75.862,King George County
Dahlgren West Bldg 9,Oasis Digital Properties,75.862,King George County
Dahlgren West Bldg 5,Oasis Digital Properties,75.862,King George County
Dahlgren West Bldg 7,Oasis Digital Properties,75.862,King George County
Dahlgren West Bldg 8,Oasis Digital Properties,75.862,King George County
Globalinx Virginia Data Center 2,Globalinx,,Prince William County
AWS DCTC Building 2,Amazon AWS,66.0,Loudoun County
AWS DCTC Building 4,Amazon AWS,66.0,Prince William County
AWS DCTC Building 5,Amazon AWS,66.0,Loudoun County
AWS DCTC Building 7,Amazon AWS,66.0,Loudoun County
AWS DCTC Building 6,Amazon AWS,66.0,Prince William County
AWS DCTC Building 8,Amazon AWS,66.0,Loudoun County
AWS DCTC Building 1,Amazon AWS,66.0,Loudoun County
AWS DCTC Building 3,Amazon AWS,66.0,Loudoun County
 AWS NCTC Building 9,Amazon AWS,70.0,Prince William County
 AWS NCTC Building 5,Amazon AWS,70.0,Loudoun County
 AWS NCTC Building 10,Amazon AWS,70.0,Loudoun County
 AWS NCTC Building 3,Amazon AWS,70.0,Loudoun County
 AWS NCTC Building 7,Amazon AWS,70.0,Loudoun County
 AWS NCTC Building 8,Amazon AWS,70.0,Loudoun County
 AWS NCTC Building 4,Amazon AWS,70.0,Loudoun County
 AWS NCTC Building 6,Amazon AWS,70.0,Loudoun County
 AWS Culpeper Data Center 2,Amazon AWS,66.9973433678465,Culpeper County
AWS Lake Anna Data Center - Building 7,Amazon AWS,44.0,Louisa County
AWS Lake Anna Data Center - Building 6,Amazon AWS,66.0,Louisa County
AWS Lake Anna Data Center - Building 5,Amazon AWS,66.0,Spotsylvania County
Amazon AWS - Warrenton Data Center ,Amazon AWS,50.0,Fauquier County
Amazon AWS IAD - Wellington Building 5,Amazon AWS,66.9973433678465,Loudoun County
Amazon AWS IAD - Wellington Building 4,Amazon AWS,39.1977777777778,Loudoun County
Amazon AWS IAD - Wellington Building 6,Amazon AWS,66.9973433678465,Loudoun County
Amazon AWS IAD - Century Park Building 1,Amazon AWS,39.1977777777778,Loudoun County
Amazon AWS IAD - Century Park Building 2,Amazon AWS,39.1977777777778,Loudoun County
Amazon AWS IAD - Mason Building 4,Amazon AWS,39.1977777777778,Loudoun County
Data Center 1,Amazon AWS,66.9973433678465,Loudoun County
Data Center 2,Amazon AWS,66.9973433678465,Loudoun County
Data Center 3,Amazon AWS,66.9973433678465,Arlington County
Data Center 4,Amazon AWS,66.9973433678465,Loudoun County
Building C,Amazon AWS,66.9973433678465,Loudoun County
AWS Orrock Building 3,Amazon AWS,70.0,Loudoun County
AWS Orrock Building 5,Amazon AWS,70.0,Loudoun County
AWS Orrock Building 6,Amazon AWS,70.0,Prince William County
AWS Orrock Building 4,Amazon AWS,70.0,Loudoun County
AWS Orrock Building 8,Amazon AWS,70.0,Prince William County
AWS Orrock Building 7,Amazon AWS,70.0,Loudoun County
AWS Orrock Building 11,Amazon AWS,70.0,Prince William County
AWS Orrock Building 9,Amazon AWS,70.0,Loudoun County
AWS Orrock Building 10,Amazon AWS,70.0,Loudoun County
Building D,Amazon AWS,66.9973433678465,Loudoun County
AWS Cosner Building 6,Amazon AWS,39.1977777777778,Fredericksburg City
AWS Cosner Building 7,Amazon AWS,39.1977777777778,Fredericksburg City
Amazon AWS IAD - 44150 Wade Dr,Amazon AWS,56.285,Loudoun County
AWS Carters Building 3,Amazon AWS,66.0,Loudoun County
AWS Carters Building 1,Amazon AWS,66.0,Loudoun County
AWS Carters Building 8,Amazon AWS,66.0,Loudoun County
AWS Carters Building 4,Amazon AWS,66.0,Loudoun County
AWS Carters Building 2,Amazon AWS,66.0,Prince William County
AWS Carters Building 6,Amazon AWS,66.0,Loudoun County
AWS Carters Building 5,Amazon AWS,66.0,Loudoun County
AWS Carters Building 7,Amazon AWS,66.0,Loudoun County
AWS Summit Crossing Building 6,Amazon AWS,66.0,Loudoun County
AWS Summit Crossing Building 5,Amazon AWS,66.0,Loudoun County
AWS Summit Crossing Building 1,Amazon AWS,66.0,Prince William County
AWS Summit Crossing Building 4,Amazon AWS,66.0,Prince William County
AWS Summit Crossing Building 7,Amazon AWS,66.0,Prince William County
AWS Summit Crossing Building 2,Amazon AWS,66.0,Loudoun County
AWS Summit Crossing Building 3,Amazon AWS,66.0,Loudoun County
Amazon AWS IAD503 -  EDS Building 4,Amazon AWS,45.58,Loudoun County
Amazon AWS Nokes Blvd - Building 1,Amazon AWS,39.1977777777778,Loudoun County
Amazon AWS Nokes Blvd - Building 3,Amazon AWS,66.9973433678465,Prince William County
Amazon AWS Nokes Blvd - Building 4,Amazon AWS,66.9973433678465,Prince William County
Amazon AWS Nokes Blvd - Building 2,Amazon AWS,39.1977777777778,Loudoun County
CLP 1 Northern Virginia,CloudHQ,50.0,Loudoun County
CLP 2 Northern Virginia,CloudHQ,50.0,Loudoun County
CLP 3 Northern Virginia,CloudHQ,42.0,Loudoun County
MCC7 Northern Virginia,CloudHQ,36.0,Loudoun County
MCC3 Northern Virginia,CloudHQ,60.0,Loudoun County
MCC6Z Northern Virginia,CloudHQ,40.0,Loudoun County
MCC4 Northern Virginia,CloudHQ,60.0,Loudoun County
MCC5 Northern Virginia,CloudHQ,60.0,Loudoun County
LC12 Northern Virginia,CloudHQ,108.0,Loudoun County
LC13 Northern Virginia,CloudHQ,108.0,Loudoun County
LC14 Northern Virginia,CloudHQ,108.0,Loudoun County
LC10 Northern Virginia,CloudHQ,108.0,Loudoun County
LC9 Northern Virginia,CloudHQ,108.0,Loudoun County
LC5 Northern Virginia,CloudHQ,36.48,Loudoun County
ASH2 Ashburn Data Center,Cologix,85.0,Loudoun County
Copper Ridge Data Center 3,Company Not Disclosed,75.0,Loudoun County
Copper Ridge Data Center 8,Company Not Disclosed,75.0,Loudoun County
Copper Ridge Data Center 1,Company Not Disclosed,75.0,Loudoun County
Copper Ridge Data Center 6,Company Not Disclosed,75.0,Loudoun County
Copper Ridge Data Center 2,Company Not Disclosed,75.0,Loudoun County
Copper Ridge Data Center 7,Company Not Disclosed,75.0,Prince William County
Copper Ridge Data Center 4,Company Not Disclosed,75.0,Loudoun County
Copper Ridge Data Center 5,Company Not Disclosed,75.0,Loudoun County
CTP Data Center 6,Company Not Disclosed,60.0,Loudoun County
CTP Data Center 4,Company Not Disclosed,60.0,Loudoun County
CTP Data Center 5,Company Not Disclosed,60.0,Loudoun County
CTP Data Center 1,Company Not Disclosed,60.0,Loudoun County
CTP Data Center 7,Company Not Disclosed,60.0,Loudoun County
CTP Data Center 2,Company Not Disclosed,60.0,Prince William County
CTP Data Center 3,Company Not Disclosed,60.0,Loudoun County
CTP Data Center 8,Company Not Disclosed,60.0,Prince William County
Red Ace Data Center 2,Company Not Disclosed,54.384,Loudoun County
Red Ace Data Center 1,Company Not Disclosed,54.384,Loudoun County
Topaz Substation Campus,Company Not Disclosed,300.0,Loudoun County
 Amethyst Substation Data Center,Company Not Disclosed,300.0,Loudoun County
Garnet Substation Data Center Campus,Company Not Disclosed,300.0,Loudoun County
Data Center 3,Company Not Disclosed,100.0,Loudoun County
Data Center 1,Company Not Disclosed,100.0,Unable to determine the county with the given information.
Data Center 2,Company Not Disclosed,100.0,Loudoun County
Hunter Trust Data Center 9,Company Not Disclosed,111.3,Loudoun County
Hunter Trust Data Center 6,Company Not Disclosed,111.3,Loudoun County
Hunter Trust Data Center 1,Company Not Disclosed,111.3,Loudoun County
Hunter Trust Data Center 4,Company Not Disclosed,111.3,Loudoun County
Hunter Trust Data Center 7,Company Not Disclosed,111.3,Culpeper County
Hunter Trust Data Center 5,Company Not Disclosed,111.3,Loudoun County
Hunter Trust Data Center 3,Company Not Disclosed,111.3,Loudoun County
Hunter Trust Data Center 8,Company Not Disclosed,111.3,Loudoun County
Hunter Trust Data Center 10,Company Not Disclosed,111.3,Prince William County
Hunter Trust Data Center 2,Company Not Disclosed,111.3,Loudoun County
SVTP Data Center 1,Company Not Disclosed,49.83,Loudoun County
SVTP Data Center 6,Company Not Disclosed,49.97,Prince William County
SVTP Data Center 5,Company Not Disclosed,49.97,Prince William County
SVTP Data Center 4,Company Not Disclosed,49.97,Loudoun County
SVTP Data Center 2,Company Not Disclosed,49.83,Loudoun County
SVTP Data Center 11,Company Not Disclosed,49.97,Loudoun County
SVTP Data Center 7,Company Not Disclosed,49.97,Prince William County
SVTP Data Center 3,Company Not Disclosed,49.738,Fairfax County
SVTP Data Center 8,Company Not Disclosed,49.97,Prince William County
SVTP Data Center 9,Company Not Disclosed,49.97,Prince William County
SVTP Data Center 13,Company Not Disclosed,49.99,Prince William County
SVTP Data Center 10,Company Not Disclosed,49.97,Loudoun County
SVTP Data Center 12,Company Not Disclosed,49.97,Prince William County
Data Center 3,Company Not Disclosed,100.0,Loudoun County
Data Center 2,Company Not Disclosed,100.0,Loudoun County
Data Center 1,Company Not Disclosed,100.0,Loudoun County
Cross Mill Center,Company Not Disclosed,61.84,Loudoun County
Building B,Company Not Disclosed,71.459,Loudoun County
Building A,Company Not Disclosed,71.459,Loudoun County
Blaisdell Data Center 2,Company Not Disclosed,71.125,Loudoun County
Blaisdell Data Center 1,Company Not Disclosed,71.125,Loudoun County
Blaisdell Data Center 3,Company Not Disclosed,71.125,Loudoun County
Telos Data Center ,Company Not Disclosed,62.656,Prince William County
Enon Technology Data Center 2,Company Not Disclosed,63.979,Frederick County
Enon Technology Data Center 5,Company Not Disclosed,63.979,Fredericksburg City
Enon Technology Data Center 1,Company Not Disclosed,63.979,Greene County
Enon Technology Data Center 3,Company Not Disclosed,63.979,Fairfax County
Enon Technology Data Center 6,Company Not Disclosed,63.979,Frederick County
Enon Technology Data Center 4,Company Not Disclosed,63.979,Fairfax County
Pemberton Tech Center Building 1,Company Not Disclosed,48.165,Loudoun County
Pemberton Tech Center Building 3,Company Not Disclosed,48.165,Loudoun County
Pemberton Tech Center Building 2,Company Not Disclosed,48.165,Loudoun County
Ashbrook Tech Center Building 3,Company Not Disclosed,32.47,Loudoun County
Ashbrook Tech Center Building 2,Company Not Disclosed,32.47,Chesterfield County
Ashbrook Tech Center Building 1,Company Not Disclosed,32.47,Loudoun County
Stonecroft Data Center,Company Not Disclosed,,Loudoun County
Cranes Corner Data Center 1,Company Not Disclosed,59.35,Prince William County
Cranes Corner Data Center 2,Company Not Disclosed,59.35,Prince William County
Cranes Corner Data Center 3,Company Not Disclosed,59.35,Prince William County
GWV Data Center 14,Company Not Disclosed,61.99,Loudoun County
GWV Data Center 4,Company Not Disclosed,61.99,Prince William County
GWV Data Center 2,Company Not Disclosed,61.99,Loudoun County
GWV Data Center 19,Company Not Disclosed,61.99,Loudoun County
GWV Data Center 11,Company Not Disclosed,61.99,Loudoun County
GWV Data Center 3,Company Not Disclosed,61.99,Loudoun County
GWV Data Center 16,Company Not Disclosed,61.99,Loudoun County
GWV Data Center 9,Company Not Disclosed,61.99,Loudoun County
GWV Data Center 17,Company Not Disclosed,61.99,Loudoun County
GWV Data Center 18,Company Not Disclosed,61.99,Loudoun County
GWV Data Center 13,Company Not Disclosed,61.99,Loudoun County
GWV Data Center 7,Company Not Disclosed,61.99,Loudoun County
GWV Data Center 8,Company Not Disclosed,61.99,Loudoun County
GWV Data Center 5,Company Not Disclosed,61.99,Loudoun County
GWV Data Center 12,Company Not Disclosed,61.99,Loudoun County
GWV Data Center 10,Company Not Disclosed,61.99,Loudoun County
GWV Data Center 15,Company Not Disclosed,61.99,Loudoun County
GWV Data Center 6,Company Not Disclosed,61.99,Loudoun County
GWV Data Center 1,Company Not Disclosed,61.99,Loudoun County
Building A,Company Not Disclosed,69.469,Loudoun County
Building C,Company Not Disclosed,59.12,Loudoun County
Building B,Company Not Disclosed,62.07,Loudoun County
Loundon Data Center,Company Not Disclosed,,Loudoun County
Data Center 2,Company Not Disclosed,89.32,Loudoun County
Data Center 1,Company Not Disclosed,90.86,County not found
Austin Ridge Data Center 3,Company Not Disclosed,61.631,Loudoun County
Austin Ridge Data Center 4,Company Not Disclosed,55.604,Loudoun County
Austin Ridge Data Center 2,Company Not Disclosed,61.631,Prince William County
Austin Ridge Data Center 1,Company Not Disclosed,74.765,Prince William County
Potomac Creek Data Center 1,Company Not Disclosed,64.772,Stafford County
Potomac Creek Data Center 3,Company Not Disclosed,64.772,Stafford County
Potomac Creek Data Center 2,Company Not Disclosed,64.772,Stafford County
Accokeek Data Center 3,Company Not Disclosed,46.28,Prince William County
Accokeek Data Center 1,Company Not Disclosed,46.28,Prince William County
Accokeek Data Center 2,Company Not Disclosed,46.28,Prince William County
 DULLES DESIGN DATA CENTER,Company Not Disclosed,47.845,Loudoun County
Building A,Company Not Disclosed,64.907,Loudoun County
Building B,Company Not Disclosed,64.907,Loudoun County
Building C,Company Not Disclosed,64.907,Prince William County
Silverbrook Data Center 2,Company Not Disclosed,12.5576,Prince William County
Silverbrook Data Center 1,Company Not Disclosed,12.5576,Loudoun County
Forest Lane Data Center 20,Company Not Disclosed,61.797,Prince William County
Forest Lane Data Center 16,Company Not Disclosed,61.797,Prince William County
Forest Lane Data Center 19,Company Not Disclosed,61.797,Loudoun County
Forest Lane Data Center 5,Company Not Disclosed,61.797,Loudoun County
Forest Lane Data Center 2,Company Not Disclosed,61.797,Loudoun County
Forest Lane Data Center 17,Company Not Disclosed,61.797,Loudoun County
Forest Lane Data Center 6,Company Not Disclosed,61.797,Loudoun County
Forest Lane Data Center 7,Company Not Disclosed,61.797,Fairfax County
Forest Lane Data Center 8,Company Not Disclosed,61.797,Prince William County
Forest Lane Data Center 10,Company Not Disclosed,61.797,Loudoun County
Forest Lane Data Center 3,Company Not Disclosed,61.797,Loudoun County
Forest Lane Data Center 4,Company Not Disclosed,61.797,Prince William County
Forest Lane Data Center 12,Company Not Disclosed,61.797,Loudoun County
Forest Lane Data Center 11,Company Not Disclosed,61.797,Loudoun County
Forest Lane Data Center 1,Company Not Disclosed,61.797,Loudoun County
Forest Lane Data Center 9,Company Not Disclosed,61.797,Loudoun County
Forest Lane Data Center 15,Company Not Disclosed,61.797,Loudoun County
Forest Lane Data Center 14,Company Not Disclosed,61.797,Loudoun County
Forest Lane Data Center 13,Company Not Disclosed,61.797,Loudoun County
Forest Lane Data Center 18,Company Not Disclosed,61.797,Loudoun County
Sisson South Data Center 9,Company Not Disclosed,45.585,Loudoun County
Sisson South Data Center 2,Company Not Disclosed,45.585,Loudoun County
Sisson South Data Center 6,Company Not Disclosed,45.585,Loudoun County
Sisson South Data Center 4,Company Not Disclosed,45.585,Loudoun County
Sisson South Data Center 8,Company Not Disclosed,45.585,Loudoun County
Sisson South Data Center 10,Company Not Disclosed,45.585,Loudoun County
Sisson South Data Center 7,Company Not Disclosed,45.585,Loudoun County
Sisson South Data Center 11,Company Not Disclosed,45.585,Loudoun County
Sisson South Data Center 5,Company Not Disclosed,45.585,Loudoun County
Sisson South Data Center 1,Company Not Disclosed,45.585,Loudoun County
Sisson South Data Center 3,Company Not Disclosed,45.585,Loudoun County
Sisson North Data Center 1,Company Not Disclosed,45.585,Loudoun County
Sisson North Data Center 5,Company Not Disclosed,45.585,Loudoun County
Sisson North Data Center 4,Company Not Disclosed,45.585,Loudoun County
Sisson North Data Center 3,Company Not Disclosed,45.585,Loudoun County
Sisson North Data Center 2,Company Not Disclosed,45.585,Loudoun County
Simms Farm Data Center 2,Company Not Disclosed,45.415,Loudoun County
Simms Farm Data Center 5,Company Not Disclosed,45.415,Loudoun County
Simms Farm Data Center 1,Company Not Disclosed,45.415,Loudoun County
Simms Farm Data Center 4,Company Not Disclosed,45.415,Loudoun County
Simms Farm Data Center 3,Company Not Disclosed,45.415,Loudoun County
Starwood Capital Data Center ,Company Not Disclosed,176.0,Loudoun County
Fauquier's Data Center Building 3,CyrusOne,40.0,Fauquier County
Fauquier's Data Center Building 1,CyrusOne,27.0,Fauquier County
Fauquier's Data Center Building 4,CyrusOne,40.0,Fauquier County
Fauquier's Data Center Building 2,CyrusOne,27.0,Fauquier County
BUILDING 1A,CyrusOne,49.418,Loudoun County
BUILDING 2,CyrusOne,49.418,Loudoun County
BUILDING 1B,CyrusOne,48.005,Loudoun County
IAD5 - Culpepper Campus Data Center 3,DataBank,72.0,Culpeper County
IAD5 - Culpepper Campus Data Center 2,DataBank,72.0,Culpeper County
Data Center 1,Digital Realty,80.0,Loudoun County
Data Center 2,Digital Realty,64.0,Loudoun County
Data Center 10,Digital Realty,96.0,Prince William County
Data Center 11,Digital Realty,96.0,Loudoun County
Data Center 3,Digital Realty,80.0,Loudoun County
Data Center 4,Digital Realty,96.0,Loudoun County
Digital Waxpool Road – ACC11,Digital Realty,59.515,Loudoun County
Louisa County Data Center 10,Edgecore,85.0,Louisa County
Louisa County Data Center 9,Edgecore,85.0,Louisa County
Louisa County Data Center 2,Edgecore,85.0,Louisa County
Louisa County Data Center 11,Edgecore,85.0,Louisa County
Louisa County Data Center 13,Edgecore,85.0,Louisa County
Louisa County Data Center 6,Edgecore,85.0,Louisa County
Louisa County Data Center 8,Edgecore,85.0,Louisa County
Louisa County Data Center 4,Edgecore,85.0,Louisa County
Louisa County Data Center 7,Edgecore,85.0,Louisa County
Louisa County Data Center 1,Edgecore,85.0,Louisa County
Louisa County Data Center 12,Edgecore,85.0,Louisa County
Louisa County Data Center 3,Edgecore,85.0,Louisa County
Louisa County Data Center 5,Edgecore,85.0,Louisa County
CP03 EdgeCore Datacenter,Edgecore,72.0,Prince William County
CP02 EdgeCore Datacenter,Edgecore,72.0,Prince William County
CP01 EdgeCore Datacenter,Edgecore,72.0,Arlington County
Loudoun County Edgecore Data Center 1,Edgecore,,Loudoun County
Loudoun County Edgecore Data Center 2,Edgecore,,Loudoun County
Skye Data Center 1,Google,41.7316666666667,Loudoun County
Skye Data Center 2,Google,41.7316666666667,Prince William County
Data Center 1,Google,41.7316666666667,Loudoun County
Bermuda Data Center 3,Google,96.0,Loudoun County
Bermuda Data Center 2,Google,96.0,Prince William County
Microsoft Clarksville Data Center Building 4,Microsoft,54.0,Mecklenburg County
Microsoft Clarksville Data Center Building 6,Microsoft,54.0,Mecklenburg County
Microsoft Clarksville Data Center Building 5,Microsoft,54.0,Mecklenburg County
Microsoft - MNZ Building 2,Microsoft,60.844231046731,Loudoun County
Microsoft - MNZ03 Building 1,Microsoft,60.844231046731,Loudoun County
Microsoft - MNZ Building 4,Microsoft,60.844231046731,Arlington County
Microsoft - MNZ Building 3,Microsoft,60.844231046731,Loudoun County
PowerHouse Arcola Building 1,Power House Data Centers,82.0,Loudoun County
PowerHouse Arcola Building 2,Power House Data Centers,82.0,Loudoun County
Overview Dr Data Center 7,Power House Data Centers,21.896,Prince William County
Overview Dr Data Center 6,Power House Data Centers,21.896,Prince William County
Overview Dr Data Center 5,Power House Data Centers,21.896,Loudoun County
Power House & Chirisa Building 2,Power House Data Centers,60.0,Loudoun County
Power House & Chirisa Building 4,Power House Data Centers,60.0,Loudoun County
