County Name,Consumption MMBtu,Expenditure US Dollars
Fairfax,32056382.317930285,694237436.2
Giles,292573.3479837217,7434776.856908872
Page,360450.8436835644,10320682.302392798
Roanoke,1922044.337,50306009.58520145
Danville,1711173.9180717869,38977779.98435907
Galax,300328.03034452687,7631836.272837093
Lexington,179167.14142074538,3839483.060123019
Poquoson,122292.27060112373,2620676.4126024344
Amelia,134560.6608671669,3552775.8556943787
Fauquier,1379462.928546601,36457486.56
Pittsylvania,486456.38843094464,12518045.862602064
Richmond,148032.3464113058,4379479.857
Washington,1465141.4400732706,37951808.53458745
Fredericksburg,1704779.7276927256,36532775.11352429
Petersburg,1168850.3214864132,25048013.678613335
Portsmouth,2309415.4421304525,49598652.78279557
Albemarle,2323883.3066443307,53290180.203854986
Prince William,7050735.875530467,177146328.8330654
Southampton,228426.7618,6530783.532325484
Westmoreland,403094.9885435775,11925409.71914003
Chesapeake,4956635.316084563,106218792.00637448
Lynchburg,4381630.760797468,111344547.28654395
Amherst,416045.80473259685,10799548.969630564
Bath,136810.3037121022,3597963.1171725187
Greene,202723.02004241972,6194596.482521449
Middlesex,277634.14712653565,5949593.191035468
Northampton,253676.39122457535,7739987.332243762
Smyth,535414.0855231673,13605765.116470376
Surry,78455.6224,2027785.206911798
Alexandria,6688253.710166488,143326709.44111344
Falls Church,590500.7597729318,12654204.59278305
Harrisonburg,1344500.2555575173,32703563.475722626
Newport News,5266265.725777237,112854052.83306615
Fluvanna,158769.84620776118,4123187.4080759715
Orange,594053.1145383655,16067412.654051045
Rockingham,1153427.4470907198,29709842.511811376
Alleghany,259115.6822150215,6866204.673413783
Bland,43585.98479378415,1107592.5858927509
Frederick,1667220.6583155799,51578877.77262805
Lunenburg,122637.67506604796,3278614.6366328346
Stafford,2093514.8485500277,50702736.96435355
Warren,1311173.1344540592,39001336.539698906
Emporia,247220.05693267757,6284382.699213665
Accomack,627068.6855127425,19132658.186319713
Grayson,204538.2122,5197657.193306702
Halifax,728974.4290548001,17416254.98173724
James City,2057504.0523591614,44091521.981217586
King George,342290.79771200684,10186349.062044539
Spotsylvania,2559772.557342163,60725856.68031458
Wythe,538801.4483140507,13691843.656000962
Covington,173688.0816779327,3722068.9121726686
Franklin,284346.30580397736,6411141.330179686
Hopewell,453577.0642756557,10144859.135148613
Manassas Park,214662.14876866946,5717131.319731448
Richmond,9101496.456816988,195041575.07643998
Caroline,612983.2646457423,16758846.33207832
King and Queen,39669.55924414884,1066078.6634420315
King William,204255.63025327702,5070665.283661924
Rockbridge,361634.8107495187,9709265.156291218
Scott,215787.73454473907,5639620.745259134
Bristol,988256.8627377416,30350013.251912385
Appomattox,170219.00287961855,4633534.073322658
Northumberland,234326.9062058328,6932471.115803661
Fairfax City,1555395.138284899,33331520.715789244
Brunswick,193066.38659970264,5291070.819485027
Charlotte,154148.2356165466,4224501.455791804
Culpeper,870178.495,25262817.384109315
Goochland,553258.1593119963,12467137.071474783
Isle of Wight,533414.8886247274,14810820.970896438
Nottoway,274895.2725108227,7281878.7844440555
Prince Edward,433110.28138105525,11679844.601239227
Tazewell,980994.2691586992,24928700.919863425
Franklin,890468.0529266743,22866777.152685635
Louisa,359398.7522025057,9943756.384
Buena Vista,90094.67348824516,2369392.535202092
Colonial Heights,797770.4528101385,17095914.548449658
Norfolk,6935706.725,151244044.7766249
Roanoke City,4528211.463,116351446.71130678
Bedford,778212.7886734591,20853447.049328722
Chesterfield,6673889.978437012,144062745.5702284
Dinwiddie,344783.64518199355,8563073.435
Floyd,164074.73745782964,4169412.7949536685
Gloucester,577202.6685852659,12369231.603446102
Greensville,102959.21182384295,2617243.5095078712
Prince George,619812.0412,15538293.30919329
Rappahannock,115002.12055605775,3716676.4654069813
Botetourt,643060.5222098277,17810916.29339267
Clarke,274659.14386235457,8536072.922550475
Lancaster,346805.0662173633,9392793.13
Shenandoah,797409.7898086018,21317860.75932369
Hampton,3043266.4707291634,65216032.173581876
Manassas,1129033.148958214,29499850.97412646
Martinsville,769560.0384204151,21351061.637472436
Augusta,1093178.834,28348216.919990566
Buchanan,323266.2471474671,8214734.628986036
Charles City,86837.05717923518,1860884.7995610368
Craig,30226.134924230533,941064.0784429365
Cumberland,187296.81311554392,5202052.049851725
Essex,258240.62312006543,6939951.529083745
Hanover,2937978.7992369044,68192659.06
Henrico,9363282.385567106,201324740.00174585
Highland,28176.129410637448,858919.0108449084
Montgomery,1816688.673096126,46504484.02368142
New Kent,207587.54521714913,4448521.403226473
Russell,341237.10292739916,8722757.180832157
York,1791307.1202200316,38387023.91868012
Norton,277679.33901731594,7378918.841
Buckingham,73844.68571550828,2015087.884856733
Campbell,903125.3995,23269439.20016662
Lee,230508.10644333783,6747701.957763886
Loudoun,11569533.586018348,257668920.64372993
Madison,105494.00825721698,3321153.9471093193
Mecklenburg,718443.7854692456,19021693.022710428
Powhatan,283119.7670266253,7500492.9913076395
Arlington,9451391.431198984,203207693.21472988
Carroll,322490.7503133926,8195027.960645091
Dickenson,137895.04604419315,3504143.1633693487
Henry,1867756.6943662066,47462813.49
Mathews,107068.59022741529,2294438.7861255687
Nelson,240319.13076308288,6602150.671460641
Patrick,279073.27451074735,7091717.469383901
Pulaski,554501.098,14866484.042511437
Sussex,151400.11511403343,4089051.808509617
Wise,611677.1179645387,16345983.219503164
Charlottesville,1858499.595595606,39826932.87208529
Radford,357360.92889513384,10427996.01889794