Label (Grouping),Median income (dollars)
Virginia,
    Households,
        Estimate,"93,170"
        Margin of Error,±458
    Families,
        Estimate,"115,213"
        Margin of Error,±594
    Married-couple families,
        Estimate,"136,059"
        Margin of Error,±583
    Nonfamily households,
        Estimate,"56,367"
        Margin of Error,±437
"Accomack County, Virginia",
    Households,
        Estimate,"58,993"
        Margin of Error,"±5,112"
    Families,
        Estimate,"72,820"
        Margin of Error,"±3,628"
    Married-couple families,
        Estimate,"86,385"
        Margin of Error,"±6,552"
    Nonfamily households,
        Estimate,"34,537"
        Margin of Error,"±5,530"
"Albemarle County, Virginia",
    Households,
        Estimate,"104,392"
        Margin of Error,"±3,216"
    Families,
        Estimate,"137,355"
        Margin of Error,"±6,297"
    Married-couple families,
        Estimate,"156,478"
        Margin of Error,"±6,166"
    Nonfamily households,
        Estimate,"61,727"
        Margin of Error,"±3,437"
"Alleghany County, Virginia",
    Households,
        Estimate,"56,188"
        Margin of Error,"±4,205"
    Families,
        Estimate,"73,409"
        Margin of Error,"±8,862"
    Married-couple families,
        Estimate,"85,591"
        Margin of Error,"±4,988"
    Nonfamily households,
        Estimate,"31,250"
        Margin of Error,"±5,900"
"Amelia County, Virginia",
    Households,
        Estimate,"76,717"
        Margin of Error,"±10,778"
    Families,
        Estimate,"88,021"
        Margin of Error,"±13,357"
    Married-couple families,
        Estimate,"97,200"
        Margin of Error,"±4,299"
    Nonfamily households,
        Estimate,"41,620"
        Margin of Error,"±8,964"
"Amherst County, Virginia",
    Households,
        Estimate,"68,724"
        Margin of Error,"±3,768"
    Families,
        Estimate,"87,866"
        Margin of Error,"±4,916"
    Married-couple families,
        Estimate,"99,942"
        Margin of Error,"±6,559"
    Nonfamily households,
        Estimate,"37,522"
        Margin of Error,"±5,603"
"Appomattox County, Virginia",
    Households,
        Estimate,"62,853"
        Margin of Error,"±4,908"
    Families,
        Estimate,"81,762"
        Margin of Error,"±7,309"
    Married-couple families,
        Estimate,"96,638"
        Margin of Error,"±11,912"
    Nonfamily households,
        Estimate,"32,415"
        Margin of Error,"±7,367"
"Arlington County, Virginia",
    Households,
        Estimate,"142,114"
        Margin of Error,"±3,551"
    Families,
        Estimate,"199,541"
        Margin of Error,"±4,408"
    Married-couple families,
        Estimate,"222,008"
        Margin of Error,"±6,521"
    Nonfamily households,
        Estimate,"112,386"
        Margin of Error,"±3,764"
"Augusta County, Virginia",
    Households,
        Estimate,"82,049"
        Margin of Error,"±4,414"
    Families,
        Estimate,"97,910"
        Margin of Error,"±3,700"
    Married-couple families,
        Estimate,"108,978"
        Margin of Error,"±4,338"
    Nonfamily households,
        Estimate,"40,223"
        Margin of Error,"±2,398"
"Bath County, Virginia",
    Households,
        Estimate,"56,184"
        Margin of Error,"±19,950"
    Families,
        Estimate,"86,250"
        Margin of Error,"±20,634"
    Married-couple families,
        Estimate,"96,667"
        Margin of Error,"±33,955"
    Nonfamily households,
        Estimate,"32,188"
        Margin of Error,"±14,021"
"Bedford County, Virginia",
    Households,
        Estimate,"78,937"
        Margin of Error,"±3,263"
    Families,
        Estimate,"92,345"
        Margin of Error,"±2,797"
    Married-couple families,
        Estimate,"99,329"
        Margin of Error,"±4,919"
    Nonfamily households,
        Estimate,"46,034"
        Margin of Error,"±4,759"
"Bland County, Virginia",
    Households,
        Estimate,"61,216"
        Margin of Error,"±5,455"
    Families,
        Estimate,"72,222"
        Margin of Error,"±11,081"
    Married-couple families,
        Estimate,"73,846"
        Margin of Error,"±11,133"
    Nonfamily households,
        Estimate,"41,269"
        Margin of Error,"±7,543"
"Botetourt County, Virginia",
    Households,
        Estimate,"81,213"
        Margin of Error,"±6,175"
    Families,
        Estimate,"96,761"
        Margin of Error,"±5,281"
    Married-couple families,
        Estimate,"108,594"
        Margin of Error,"±7,497"
    Nonfamily households,
        Estimate,"42,303"
        Margin of Error,"±5,175"
"Brunswick County, Virginia",
    Households,
        Estimate,"53,084"
        Margin of Error,"±4,616"
    Families,
        Estimate,"63,036"
        Margin of Error,"±10,039"
    Married-couple families,
        Estimate,"85,346"
        Margin of Error,"±8,427"
    Nonfamily households,
        Estimate,"33,370"
        Margin of Error,"±3,861"
"Buchanan County, Virginia",
    Households,
        Estimate,"42,886"
        Margin of Error,"±3,670"
    Families,
        Estimate,"51,617"
        Margin of Error,"±3,200"
    Married-couple families,
        Estimate,"55,256"
        Margin of Error,"±5,722"
    Nonfamily households,
        Estimate,"21,303"
        Margin of Error,"±3,378"
"Buckingham County, Virginia",
    Households,
        Estimate,"60,828"
        Margin of Error,"±4,412"
    Families,
        Estimate,"80,505"
        Margin of Error,"±10,442"
    Married-couple families,
        Estimate,"87,373"
        Margin of Error,"±6,918"
    Nonfamily households,
        Estimate,"36,678"
        Margin of Error,"±6,034"
"Campbell County, Virginia",
    Households,
        Estimate,"66,165"
        Margin of Error,"±5,574"
    Families,
        Estimate,"82,015"
        Margin of Error,"±3,840"
    Married-couple families,
        Estimate,"94,210"
        Margin of Error,"±5,397"
    Nonfamily households,
        Estimate,"38,808"
        Margin of Error,"±4,949"
"Caroline County, Virginia",
    Households,
        Estimate,"87,407"
        Margin of Error,"±7,737"
    Families,
        Estimate,"97,590"
        Margin of Error,"±5,113"
    Married-couple families,
        Estimate,"114,239"
        Margin of Error,"±7,778"
    Nonfamily households,
        Estimate,"55,297"
        Margin of Error,"±8,103"
"Carroll County, Virginia",
    Households,
        Estimate,"54,484"
        Margin of Error,"±3,777"
    Families,
        Estimate,"67,152"
        Margin of Error,"±7,899"
    Married-couple families,
        Estimate,"81,190"
        Margin of Error,"±7,085"
    Nonfamily households,
        Estimate,"29,213"
        Margin of Error,"±3,262"
"Charles City County, Virginia",
    Households,
        Estimate,"75,417"
        Margin of Error,"±9,739"
    Families,
        Estimate,"95,608"
        Margin of Error,"±7,621"
    Married-couple families,
        Estimate,"103,750"
        Margin of Error,"±4,822"
    Nonfamily households,
        Estimate,"43,641"
        Margin of Error,"±8,214"
"Charlotte County, Virginia",
    Households,
        Estimate,"58,000"
        Margin of Error,"±11,996"
    Families,
        Estimate,"76,066"
        Margin of Error,"±9,914"
    Married-couple families,
        Estimate,"99,886"
        Margin of Error,"±8,295"
    Nonfamily households,
        Estimate,"33,281"
        Margin of Error,"±8,314"
"Chesterfield County, Virginia",
    Households,
        Estimate,"101,931"
        Margin of Error,"±1,923"
    Families,
        Estimate,"120,205"
        Margin of Error,"±2,274"
    Married-couple families,
        Estimate,"136,760"
        Margin of Error,"±2,701"
    Nonfamily households,
        Estimate,"59,038"
        Margin of Error,"±2,938"
"Clarke County, Virginia",
    Households,
        Estimate,"117,111"
        Margin of Error,"±12,127"
    Families,
        Estimate,"145,190"
        Margin of Error,"±11,293"
    Married-couple families,
        Estimate,"148,676"
        Margin of Error,"±7,670"
    Nonfamily households,
        Estimate,"49,197"
        Margin of Error,"±12,747"
"Craig County, Virginia",
    Households,
        Estimate,"69,057"
        Margin of Error,"±17,015"
    Families,
        Estimate,"100,000"
        Margin of Error,"±28,017"
    Married-couple families,
        Estimate,"100,842"
        Margin of Error,"±25,995"
    Nonfamily households,
        Estimate,"35,893"
        Margin of Error,"±24,539"
"Culpeper County, Virginia",
    Households,
        Estimate,"100,049"
        Margin of Error,"±5,011"
    Families,
        Estimate,"114,351"
        Margin of Error,"±5,328"
    Married-couple families,
        Estimate,"125,581"
        Margin of Error,"±6,224"
    Nonfamily households,
        Estimate,"49,054"
        Margin of Error,"±5,689"
"Cumberland County, Virginia",
    Households,
        Estimate,"55,325"
        Margin of Error,"±6,015"
    Families,
        Estimate,"59,477"
        Margin of Error,"±6,633"
    Married-couple families,
        Estimate,"78,750"
        Margin of Error,"±15,486"
    Nonfamily households,
        Estimate,"34,975"
        Margin of Error,"±8,275"
"Dickenson County, Virginia",
    Households,
        Estimate,"47,254"
        Margin of Error,"±4,756"
    Families,
        Estimate,"57,779"
        Margin of Error,"±6,032"
    Married-couple families,
        Estimate,"72,372"
        Margin of Error,"±11,538"
    Nonfamily households,
        Estimate,"24,944"
        Margin of Error,"±3,861"
"Dinwiddie County, Virginia",
    Households,
        Estimate,"83,704"
        Margin of Error,"±5,844"
    Families,
        Estimate,"96,842"
        Margin of Error,"±6,038"
    Married-couple families,
        Estimate,"104,418"
        Margin of Error,"±6,872"
    Nonfamily households,
        Estimate,"40,023"
        Margin of Error,"±8,030"
"Essex County, Virginia",
    Households,
        Estimate,"56,520"
        Margin of Error,"±7,548"
    Families,
        Estimate,"83,281"
        Margin of Error,"±10,984"
    Married-couple families,
        Estimate,"96,607"
        Margin of Error,"±11,827"
    Nonfamily households,
        Estimate,"25,833"
        Margin of Error,"±14,811"
"Fairfax County, Virginia",
    Households,
        Estimate,"153,637"
        Margin of Error,"±1,635"
    Families,
        Estimate,"183,217"
        Margin of Error,"±1,861"
    Married-couple families,
        Estimate,"204,105"
        Margin of Error,"±2,334"
    Nonfamily households,
        Estimate,"98,625"
        Margin of Error,"±2,111"
"Fauquier County, Virginia",
    Households,
        Estimate,"130,189"
        Margin of Error,"±8,609"
    Families,
        Estimate,"154,081"
        Margin of Error,"±5,902"
    Married-couple families,
        Estimate,"175,949"
        Margin of Error,"±4,386"
    Nonfamily households,
        Estimate,"63,156"
        Margin of Error,"±4,908"
"Floyd County, Virginia",
    Households,
        Estimate,"62,191"
        Margin of Error,"±10,124"
    Families,
        Estimate,"83,881"
        Margin of Error,"±5,689"
    Married-couple families,
        Estimate,"91,069"
        Margin of Error,"±5,928"
    Nonfamily households,
        Estimate,"27,917"
        Margin of Error,"±4,390"
"Fluvanna County, Virginia",
    Households,
        Estimate,"96,768"
        Margin of Error,"±6,395"
    Families,
        Estimate,"104,986"
        Margin of Error,"±7,502"
    Married-couple families,
        Estimate,"115,563"
        Margin of Error,"±9,412"
    Nonfamily households,
        Estimate,"55,432"
        Margin of Error,"±9,351"
"Franklin County, Virginia",
    Households,
        Estimate,"68,849"
        Margin of Error,"±3,573"
    Families,
        Estimate,"84,845"
        Margin of Error,"±3,544"
    Married-couple families,
        Estimate,"97,556"
        Margin of Error,"±6,937"
    Nonfamily households,
        Estimate,"36,185"
        Margin of Error,"±1,948"
"Frederick County, Virginia",
    Households,
        Estimate,"97,606"
        Margin of Error,"±4,171"
    Families,
        Estimate,"118,671"
        Margin of Error,"±4,702"
    Married-couple families,
        Estimate,"130,160"
        Margin of Error,"±5,557"
    Nonfamily households,
        Estimate,"54,510"
        Margin of Error,"±4,408"
"Giles County, Virginia",
    Households,
        Estimate,"65,691"
        Margin of Error,"±3,318"
    Families,
        Estimate,"80,997"
        Margin of Error,"±5,789"
    Married-couple families,
        Estimate,"84,428"
        Margin of Error,"±8,893"
    Nonfamily households,
        Estimate,"39,039"
        Margin of Error,"±3,773"
"Gloucester County, Virginia",
    Households,
        Estimate,"84,306"
        Margin of Error,"±4,938"
    Families,
        Estimate,"99,146"
        Margin of Error,"±3,990"
    Married-couple families,
        Estimate,"108,290"
        Margin of Error,"±10,118"
    Nonfamily households,
        Estimate,"48,952"
        Margin of Error,"±6,903"
"Goochland County, Virginia",
    Households,
        Estimate,"118,931"
        Margin of Error,"±7,243"
    Families,
        Estimate,"136,575"
        Margin of Error,"±17,830"
    Married-couple families,
        Estimate,"150,853"
        Margin of Error,"±14,982"
    Nonfamily households,
        Estimate,"72,525"
        Margin of Error,"±9,444"
"Grayson County, Virginia",
    Households,
        Estimate,"47,730"
        Margin of Error,"±6,163"
    Families,
        Estimate,"61,893"
        Margin of Error,"±7,027"
    Married-couple families,
        Estimate,"67,753"
        Margin of Error,"±6,418"
    Nonfamily households,
        Estimate,"24,088"
        Margin of Error,"±2,134"
"Greene County, Virginia",
    Households,
        Estimate,"89,808"
        Margin of Error,"±7,105"
    Families,
        Estimate,"104,643"
        Margin of Error,"±9,539"
    Married-couple families,
        Estimate,"125,490"
        Margin of Error,"±8,387"
    Nonfamily households,
        Estimate,"57,981"
        Margin of Error,"±15,527"
"Greensville County, Virginia",
    Households,
        Estimate,"54,668"
        Margin of Error,"±9,395"
    Families,
        Estimate,"62,331"
        Margin of Error,"±14,017"
    Married-couple families,
        Estimate,"73,981"
        Margin of Error,"±11,943"
    Nonfamily households,
        Estimate,"34,980"
        Margin of Error,"±10,473"
"Halifax County, Virginia",
    Households,
        Estimate,"52,013"
        Margin of Error,"±3,015"
    Families,
        Estimate,"73,715"
        Margin of Error,"±5,052"
    Married-couple families,
        Estimate,"84,505"
        Margin of Error,"±5,931"
    Nonfamily households,
        Estimate,"24,445"
        Margin of Error,"±2,086"
"Hanover County, Virginia",
    Households,
        Estimate,"112,805"
        Margin of Error,"±4,144"
    Families,
        Estimate,"132,791"
        Margin of Error,"±3,361"
    Married-couple families,
        Estimate,"146,204"
        Margin of Error,"±4,177"
    Nonfamily households,
        Estimate,"57,719"
        Margin of Error,"±6,345"
"Henrico County, Virginia",
    Households,
        Estimate,"88,783"
        Margin of Error,"±2,074"
    Families,
        Estimate,"114,299"
        Margin of Error,"±3,349"
    Married-couple families,
        Estimate,"138,068"
        Margin of Error,"±3,698"
    Nonfamily households,
        Estimate,"56,215"
        Margin of Error,"±1,609"
"Henry County, Virginia",
    Households,
        Estimate,"50,760"
        Margin of Error,"±2,873"
    Families,
        Estimate,"69,705"
        Margin of Error,"±3,108"
    Married-couple families,
        Estimate,"78,105"
        Margin of Error,"±4,875"
    Nonfamily households,
        Estimate,"29,440"
        Margin of Error,"±2,997"
"Highland County, Virginia",
    Households,
        Estimate,"65,625"
        Margin of Error,"±11,958"
    Families,
        Estimate,"83,750"
        Margin of Error,"±12,194"
    Married-couple families,
        Estimate,"92,269"
        Margin of Error,"±13,299"
    Nonfamily households,
        Estimate,"35,833"
        Margin of Error,"±7,568"
"Isle of Wight County, Virginia",
    Households,
        Estimate,"95,241"
        Margin of Error,"±5,210"
    Families,
        Estimate,"113,173"
        Margin of Error,"±5,852"
    Married-couple families,
        Estimate,"129,036"
        Margin of Error,"±8,240"
    Nonfamily households,
        Estimate,"45,241"
        Margin of Error,"±6,115"
"James City County, Virginia",
    Households,
        Estimate,"109,985"
        Margin of Error,"±5,164"
    Families,
        Estimate,"131,624"
        Margin of Error,"±5,336"
    Married-couple families,
        Estimate,"145,844"
        Margin of Error,"±7,171"
    Nonfamily households,
        Estimate,"60,208"
        Margin of Error,"±6,108"
"King and Queen County, Virginia",
    Households,
        Estimate,"70,469"
        Margin of Error,"±14,473"
    Families,
        Estimate,"85,962"
        Margin of Error,"±10,870"
    Married-couple families,
        Estimate,"102,905"
        Margin of Error,"±10,587"
    Nonfamily households,
        Estimate,"39,718"
        Margin of Error,"±11,520"
"King George County, Virginia",
    Households,
        Estimate,"116,884"
        Margin of Error,"±7,078"
    Families,
        Estimate,"131,442"
        Margin of Error,"±10,614"
    Married-couple families,
        Estimate,"148,918"
        Margin of Error,"±4,762"
    Nonfamily households,
        Estimate,"72,440"
        Margin of Error,"±11,421"
"King William County, Virginia",
    Households,
        Estimate,"86,056"
        Margin of Error,"±7,056"
    Families,
        Estimate,"98,408"
        Margin of Error,"±9,138"
    Married-couple families,
        Estimate,"116,652"
        Margin of Error,"±10,747"
    Nonfamily households,
        Estimate,"43,750"
        Margin of Error,"±12,685"
"Lancaster County, Virginia",
    Households,
        Estimate,"69,713"
        Margin of Error,"±6,479"
    Families,
        Estimate,"86,273"
        Margin of Error,"±8,723"
    Married-couple families,
        Estimate,"100,954"
        Margin of Error,"±11,574"
    Nonfamily households,
        Estimate,"48,948"
        Margin of Error,"±7,213"
"Lee County, Virginia",
    Households,
        Estimate,"41,827"
        Margin of Error,"±3,806"
    Families,
        Estimate,"61,824"
        Margin of Error,"±6,708"
    Married-couple families,
        Estimate,"72,924"
        Margin of Error,"±8,763"
    Nonfamily households,
        Estimate,"22,711"
        Margin of Error,"±4,671"
"Loudoun County, Virginia",
    Households,
        Estimate,"181,765"
        Margin of Error,"±3,438"
    Families,
        Estimate,"203,933"
        Margin of Error,"±4,244"
    Married-couple families,
        Estimate,"221,884"
        Margin of Error,"±4,642"
    Nonfamily households,
        Estimate,"104,262"
        Margin of Error,"±4,299"
"Louisa County, Virginia",
    Households,
        Estimate,"86,689"
        Margin of Error,"±6,396"
    Families,
        Estimate,"101,472"
        Margin of Error,"±7,505"
    Married-couple families,
        Estimate,"116,122"
        Margin of Error,"±7,890"
    Nonfamily households,
        Estimate,"47,553"
        Margin of Error,"±5,547"
"Lunenburg County, Virginia",
    Households,
        Estimate,"54,842"
        Margin of Error,"±9,089"
    Families,
        Estimate,"73,211"
        Margin of Error,"±8,692"
    Married-couple families,
        Estimate,"80,833"
        Margin of Error,"±7,160"
    Nonfamily households,
        Estimate,"29,279"
        Margin of Error,"±7,149"
"Madison County, Virginia",
    Households,
        Estimate,"84,323"
        Margin of Error,"±8,904"
    Families,
        Estimate,"103,087"
        Margin of Error,"±10,907"
    Married-couple families,
        Estimate,"120,029"
        Margin of Error,"±6,523"
    Nonfamily households,
        Estimate,"45,359"
        Margin of Error,"±4,471"
"Mathews County, Virginia",
    Households,
        Estimate,"75,880"
        Margin of Error,"±11,970"
    Families,
        Estimate,"95,740"
        Margin of Error,"±14,469"
    Married-couple families,
        Estimate,"101,583"
        Margin of Error,"±12,622"
    Nonfamily households,
        Estimate,"47,105"
        Margin of Error,"±12,716"
"Mecklenburg County, Virginia",
    Households,
        Estimate,"57,045"
        Margin of Error,"±4,683"
    Families,
        Estimate,"75,361"
        Margin of Error,"±4,362"
    Married-couple families,
        Estimate,"94,444"
        Margin of Error,"±5,643"
    Nonfamily households,
        Estimate,"30,444"
        Margin of Error,"±3,507"
"Middlesex County, Virginia",
    Households,
        Estimate,"75,060"
        Margin of Error,"±9,373"
    Families,
        Estimate,"96,928"
        Margin of Error,"±12,524"
    Married-couple families,
        Estimate,"103,994"
        Margin of Error,"±9,631"
    Nonfamily households,
        Estimate,"37,290"
        Margin of Error,"±12,241"
"Montgomery County, Virginia",
    Households,
        Estimate,"72,715"
        Margin of Error,"±3,227"
    Families,
        Estimate,"110,919"
        Margin of Error,"±6,553"
    Married-couple families,
        Estimate,"126,149"
        Margin of Error,"±5,211"
    Nonfamily households,
        Estimate,"36,004"
        Margin of Error,"±2,038"
"Nelson County, Virginia",
    Households,
        Estimate,"72,589"
        Margin of Error,"±13,010"
    Families,
        Estimate,"102,872"
        Margin of Error,"±13,295"
    Married-couple families,
        Estimate,"109,767"
        Margin of Error,"±13,405"
    Nonfamily households,
        Estimate,"42,727"
        Margin of Error,"±8,117"
"New Kent County, Virginia",
    Households,
        Estimate,"123,314"
        Margin of Error,"±7,122"
    Families,
        Estimate,"131,206"
        Margin of Error,"±3,612"
    Married-couple families,
        Estimate,"143,697"
        Margin of Error,"±13,352"
    Nonfamily households,
        Estimate,"66,997"
        Margin of Error,"±8,969"
"Northampton County, Virginia",
    Households,
        Estimate,"61,632"
        Margin of Error,"±7,281"
    Families,
        Estimate,"81,846"
        Margin of Error,"±6,132"
    Married-couple families,
        Estimate,"93,906"
        Margin of Error,"±10,719"
    Nonfamily households,
        Estimate,"28,601"
        Margin of Error,"±4,485"
"Northumberland County, Virginia",
    Households,
        Estimate,"66,480"
        Margin of Error,"±4,444"
    Families,
        Estimate,"79,382"
        Margin of Error,"±13,932"
    Married-couple families,
        Estimate,"98,425"
        Margin of Error,"±12,062"
    Nonfamily households,
        Estimate,"35,995"
        Margin of Error,"±14,346"
"Nottoway County, Virginia",
    Households,
        Estimate,"63,261"
        Margin of Error,"±6,928"
    Families,
        Estimate,"81,563"
        Margin of Error,"±8,411"
    Married-couple families,
        Estimate,"93,281"
        Margin of Error,"±7,899"
    Nonfamily households,
        Estimate,"33,090"
        Margin of Error,"±4,826"
"Orange County, Virginia",
    Households,
        Estimate,"94,008"
        Margin of Error,"±4,855"
    Families,
        Estimate,"107,778"
        Margin of Error,"±9,551"
    Married-couple families,
        Estimate,"121,007"
        Margin of Error,"±12,041"
    Nonfamily households,
        Estimate,"59,118"
